Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,249.0,2.0,250.0,251.0,0.0,437.7,437.7,0.0,32.80847978591919,,,,,,,,,,,,,,,,5.215017796274562,0.8245498619636192,5.988023856664395,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,505.0,3.0,257.0,508.0,0.0,432.1030000000002,432.1030000000002,0.0,66.38983106613159,,,,,,,,,,,,,,,,5.007157977625996,0.9918086564289239,5.987968319861771,0.9795282623231076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,775.0,4.0,271.0,779.0,0.0,413.80700000000013,413.80700000000013,0.0,101.83628392219543,,,,,,,,,,,,,,,,4.546417942025558,1.2008179960502945,5.988019173156988,0.21869766775101895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,1041.0,5.0,267.0,1046.0,0.0,465.4000000000001,465.4000000000001,0.0,137.0061445236206,,,,,,,,,,,,,,,,5.193641735479506,1.0212727087868485,5.9880239520958005,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,1322.0,6.0,282.0,1328.0,0.0,486.4,486.4,0.0,173.82731246948242,,,,,,,,,,,,,,,,5.140026151540758,0.707971551335102,5.988020625025003,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,1577.0,7.0,256.0,1584.0,0.0,435.20500000000004,435.20500000000004,0.0,207.27304244041443,,,,,,,,,,,,,,,,5.065333799052319,0.9702162518721879,5.988022315331053,0.5616436984578967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,1846.0,8.0,270.0,1854.0,0.0,455.30000000000007,455.30000000000007,0.0,242.68951749801636,,,,,,,,,,,,,,,,5.025915612683359,0.7825939264777347,5.988023952009441,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,2113.0,9.0,268.0,2122.0,0.0,451.50000000000006,451.50000000000006,0.0,277.68508672714233,,,,,,,,,,,,,,,,5.0181883753937555,0.91628911226181,5.9880239406033855,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,2372.0,10.0,260.0,2382.0,0.0,404.21200000000016,404.21200000000016,0.0,311.6384828090668,,,,,,,,,,,,,,,,4.626546068651102,1.3673573972847581,5.9879966745762205,0.029534806343643163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,2623.0,11.0,252.0,2634.0,0.0,422.2009999999999,422.2009999999999,0.0,344.5706024169922,,,,,,,,,,,,,,,,4.988719861950108,0.8382426626093191,5.9879766699882,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,2870.0,12.0,248.0,2882.0,0.0,396.7110000000001,396.7110000000001,0.0,376.9451265335083,,,,,,,,,,,,,,,,4.76166588209783,1.2655084967197379,5.988023223561482,0.06728324301094689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,3142.0,13.0,273.0,3155.0,0.0,463.605,463.605,0.0,412.7308099269867,,,,,,,,,,,,,,,,5.059191836819821,1.0503201443848376,5.988022247046191,0.5207952801518044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,3409.0,14.0,268.0,3423.0,0.0,437.50800000000015,437.50800000000015,0.0,447.7453775405884,,,,,,,,,,,,,,,,4.864937207716087,1.2519807458433894,5.988023952077258,0.13126359038532154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,3675.0,15.0,267.0,3690.0,0.0,434.10000000000014,434.10000000000014,0.0,482.6090908050537,,,,,,,,,,,,,,,,4.845529906623763,0.917132293279034,5.988019419676813,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,3939.0,16.0,265.0,3955.0,0.0,458.10000000000014,458.10000000000014,0.0,517.269791841507,,,,,,,,,,,,,,,,5.153211506943314,0.6685669835907097,5.987736228470443,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,4201.0,17.0,263.0,4218.0,0.0,437.6000000000004,437.6000000000004,0.0,551.5419211387634,,,,,,,,,,,,,,,,4.955171378284481,0.9866969725273429,5.9880229508695795,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,4468.0,18.0,268.0,4486.0,0.0,469.4040000000004,469.4040000000004,0.0,586.6326420307159,,,,,,,,,,,,,,,,5.220097365232225,1.089549762172929,5.988023952089267,0.6544283774408853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,4723.0,19.0,256.0,4742.0,0.0,422.2000000000003,422.2000000000003,0.0,620.0299060344696,,,,,,,,,,,,,,,,4.912323033232143,0.8354808609346044,5.9879627153245165,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,4995.0,20.0,273.0,5015.0,0.0,445.8,445.8,0.0,655.8092222213745,,,,,,,,,,,,,,,,4.8676798638120085,0.9067162037151446,5.988022487004477,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,243.0,1.0,244.0,5259.0,0.0,389.9000000000005,389.9000000000005,0.0,849.8368771076202,,,,,,,,,,,,,,,,4.755509768895445,0.7500274360851688,5.982975313082314,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,487.0,2.0,245.0,5504.0,0.0,375.7149999999998,375.7149999999998,0.0,882.214607000351,,,,,,,,,,,,,,,,4.561291437411162,1.3335708367536632,5.987977502612609,0.05265530919089371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,736.0,3.0,250.0,5754.0,0.0,390.4100000000003,390.4100000000003,0.0,914.9290220737457,,,,,,,,,,,,,,,,4.651672020969469,1.1929854379631981,5.987039658286284,0.0765230678067329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,980.0,4.0,245.0,5999.0,0.0,381.00900000000024,381.00900000000024,0.0,947.0600242614746,,,,,,,,,,,,,,,,4.626251340800674,1.1967041513167855,5.988019114276748,0.0891775660044859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,1129.0,5.0,150.0,6149.0,0.0,219.21400001,219.21400001,0.0,966.9055094718933,,,,,,,,,,,,,,,,4.324970992952373,1.563020829278358,5.972212574673057,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,1256.0,6.0,128.0,6277.0,0.0,209.10300000999993,209.10300000999993,0.0,983.9945034980774,,,,,,,,,,,,,,,,4.840156268217405,1.2651558155440787,5.9863636573410925,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,1330.0,7.0,75.0,6352.0,0.0,101.00900001000002,101.00900001000002,0.0,994.4062309265137,,,,,,,,,,,,,,,,3.9294617679066532,1.8343435654834177,5.9789858963625,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,1407.0,8.0,78.0,6430.0,0.0,117.10500000999998,117.10500000999998,0.0,1005.1578915119171,,,,,,,,,,,,,,,,4.398369739164964,1.5501588700683775,5.987578165398651,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,1644.0,9.0,238.0,6668.0,0.0,414.9000000000003,414.9000000000003,0.0,1036.2989711761475,,,,,,,,,,,,,,,,5.191110917028473,0.9192551930737679,5.9880239431559295,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,1880.0,10.0,237.0,6905.0,0.0,364.51400000000024,364.51400000000024,0.0,1067.644080877304,,,,,,,,,,,,,,,,4.579325854477473,1.3695488044598951,5.983162383517069,0.016161429335315815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,2132.0,11.0,253.0,7158.0,0.0,420.5000000000002,420.5000000000002,0.0,1100.6703355312347,,,,,,,,,,,,,,,,4.953297456861646,0.7881657596903966,5.988006481317761,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,2338.0,12.0,207.0,7365.0,0.0,284.83000000999965,284.83000000999965,0.0,1128.084971189499,,,,,,,,,,,,,,,,4.088796138704906,1.8113635579231449,5.9878946941589755,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,2566.0,13.0,229.0,7594.0,0.0,351.2149999999999,351.2149999999999,0.0,1157.944807767868,,,,,,,,,,,,,,,,4.561551636189775,1.435473293168495,5.987998586195104,0.012066276924280507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,2672.0,14.0,107.0,7701.0,0.0,179.10500001000003,179.10500001000003,0.0,1172.3568587303162,,,,,,,,,,,,,,,,4.950072552629968,1.502735728839519,5.98796836489435,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,2787.0,15.0,116.0,7817.0,0.0,189.70500001000002,189.70500001000002,0.0,1188.0041887760162,,,,,,,,,,,,,,,,4.84235065883099,1.383847923092777,5.987862728207879,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,3026.0,16.0,240.0,8057.0,0.0,387.1070000000004,387.1070000000004,0.0,1219.3931863307953,,,,,,,,,,,,,,,,4.801056956462579,1.1217672574026143,5.987969435235753,0.23322907807706494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,3288.0,17.0,263.0,8320.0,0.0,410.1060000000002,410.1060000000002,0.0,1253.979339838028,,,,,,,,,,,,,,,,4.641303227527071,1.0215626032883587,5.987662400046255,1.0939280700408593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,3384.0,18.0,97.0,8417.0,0.0,154.60500001,154.60500001,0.0,1267.0998017787933,,,,,,,,,,,,,,,,4.710545065200447,1.5323582164330078,5.98738263342136,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,3467.0,19.0,84.0,8501.0,0.0,124.00600001,124.00600001,0.0,1278.582442998886,,,,,,,,,,,,,,,,4.353291386644593,1.5327028295677423,5.9770278628547455,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,3608.0,20.0,142.0,8643.0,0.0,202.61600001,202.61600001,0.0,1297.4757316112518,,,,,,,,,,,,,,,,4.21868195173185,1.7048519745757214,5.987966006765082,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,214.0,1.0,215.0,8858.0,0.0,348.90300001000026,348.90300001000026,0.0,1440.3229174613953,,,,,,,,,,,,,,,,4.825777972650803,1.0604761459909777,5.987893599502335,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,305.0,2.0,92.0,8950.0,0.0,142.70500000999996,142.70500000999996,0.0,1452.8170230388641,,,,,,,,,,,,,,,,4.563972978392465,1.5310178685126885,5.987395352461597,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,407.0,3.0,103.0,9053.0,0.0,141.01100000999998,141.01100000999998,0.0,1466.9007592201233,,,,,,,,,,,,,,,,4.02770975857728,1.616389752021991,5.916868031767004,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,626.0,4.0,220.0,9273.0,0.0,305.42600000000016,305.42600000000016,0.0,1495.8054060935974,,,,,,,,,,,,,,,,4.130632029397388,1.5169813766361724,5.988016027976501,0.10710601463669342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,857.0,5.0,232.0,9505.0,0.0,370.10999999999996,370.10999999999996,0.0,1526.1693005561829,,,,,,,,,,,,,,,,4.745596976683583,1.3065864347986544,5.988023859886343,0.07836517495638781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,955.0,6.0,99.0,9604.0,0.0,124.61400001000003,124.61400001000003,0.0,1539.625676393509,,,,,,,,,,,,,,,,3.6854511323573163,1.789109059312576,5.978699017538082,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,1075.0,7.0,121.0,9725.0,0.0,166.41400001000002,166.41400001000002,0.0,1555.8059604167938,,,,,,,,,,,,,,,,4.06522766345544,1.5831824852419751,5.901010778862423,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,1098.0,8.0,24.0,9749.0,0.0,31.104000010000007,31.104000010000007,0.0,1559.5991621017456,,,,,,,,,,,,,,,,3.5373990853626283,2.1520991548330266,5.900450805171621,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,1161.0,9.0,64.0,9813.0,0.0,83.01500000999998,83.01500000999998,0.0,1568.7789843082428,,,,,,,,,,,,,,,,3.7560431535672145,2.228957744336485,5.977320192305448,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,1190.0,10.0,30.0,9843.0,0.0,28.508000010000014,28.508000010000014,0.0,1573.3617196083069,,,,,,,,,,,,,,,,2.574116294951886,1.629409434273149,5.368032398042097,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,1225.0,11.0,36.0,9879.0,0.0,48.70600000999999,48.70600000999999,0.0,1578.7280702590942,,,,,,,,,,,,,,,,3.8713035383226946,2.2158575496323967,5.939962502029911,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,1307.0,12.0,83.0,9962.0,0.0,96.81900001000004,96.81900001000004,0.0,1590.0859699249268,,,,,,,,,,,,,,,,3.4136676736064446,2.0202620996864944,5.979744180783297,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,1322.0,13.0,16.0,9978.0,0.0,19.203000010000007,19.203000010000007,0.0,1592.867580652237,,,,,,,,,,,,,,,,3.0575942661590556,2.2980589811054584,5.832511616431132,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,1385.0,14.0,64.0,10042.0,0.0,81.11100001000004,81.11100001000004,0.0,1601.9202334880829,,,,,,,,,,,,,,,,3.666895935250763,1.9962771221580444,5.9341978084886815,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,1634.0,15.0,250.0,10292.0,0.0,376.30499999999995,376.30499999999995,0.0,1634.6508240699768,,,,,,,,,,,,,,,,4.479960505137756,0.9507035338423979,5.983876531117686,0.4444519099989136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,1862.0,16.0,229.0,10521.0,0.0,362.1070000000002,362.1070000000002,0.0,1664.8044316768646,,,,,,,,,,,,,,,,4.708199386114577,1.123433076744029,5.987908963018611,0.23197702147764243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,2054.0,17.0,193.0,10714.0,0.0,308.2020000100002,308.2020000100002,0.0,1690.4552059173584,,,,,,,,,,,,,,,,4.743856126047567,1.0676011082437584,5.987979517750295,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,2193.0,18.0,140.0,10854.0,0.0,213.20200000999986,213.20200000999986,0.0,1709.1343030929565,,,,,,,,,,,,,,,,4.506444352333073,1.076463508954988,5.984706469346531,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,2243.0,19.0,51.0,10905.0,0.0,68.20700001000002,68.20700001000002,0.0,1716.505574464798,,,,,,,,,,,,,,,,3.847758513493032,1.8728788421407583,5.930079331330917,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,2429.0,20.0,187.0,11092.0,0.0,269.8160000099995,269.8160000099995,0.0,1741.2723636627197,,,,,,,,,,,,,,,,4.281092754787509,1.5457455518581849,5.987962382782579,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,67.0,1.0,68.0,11160.0,0.0,107.50300000999995,107.50300000999995,0.0,1826.293107509613,,,,,,,,,,,,,,,,4.625953773950023,1.564643731924113,5.981090775595189,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,291.0,2.0,225.0,11385.0,0.0,353.504,353.504,0.0,1855.864424943924,,,,,,,,,,,,,,,,4.67319503749823,1.0459039743661653,5.978882875866465,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,373.0,3.0,83.0,11468.0,0.0,122.20300000999991,122.20300000999991,0.0,1867.2148606777191,,,,,,,,,,,,,,,,4.317712513703748,1.3342708788472832,5.972674907747154,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,569.0,4.0,197.0,11665.0,0.0,296.01900000999984,296.01900000999984,0.0,1893.1649754047394,,,,,,,,,,,,,,,,4.461563732681638,1.5823652853388674,5.987635642530761,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,633.0,5.0,65.0,11730.0,0.0,89.10900001,89.10900001,0.0,1902.25053024292,,,,,,,,,,,,,,,,3.9821029872931577,1.8754784942045812,5.987337167599803,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,801.0,6.0,169.0,11899.0,0.0,225.61600000999985,225.61600000999985,0.0,1924.63152217865,,,,,,,,,,,,,,,,3.9561894870393672,1.3599345441795117,5.857728022839366,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,959.0,7.0,159.0,12058.0,0.0,228.31500000999995,228.31500000999995,0.0,1945.666758298874,,,,,,,,,,,,,,,,4.2515847517442085,1.551434826112511,5.9761814115208765,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,1176.0,8.0,218.0,12276.0,0.0,351.80999999999995,351.80999999999995,0.0,1974.6592967510223,,,,,,,,,,,,,,,,4.799000746908243,1.3380379320998974,5.9880238221986835,0.07823741549179809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,1403.0,9.0,228.0,12504.0,0.0,351.41999999999996,351.41999999999996,0.0,2004.5836939811707,,,,,,,,,,,,,,,,4.5827458984370235,1.495754983218594,5.987994211367587,0.16963229990648956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,1536.0,10.0,134.0,12638.0,0.0,207.90700000999996,207.90700000999996,0.0,2022.4956831932068,,,,,,,,,,,,,,,,4.592713878012402,1.473949903095494,5.9865825385365135,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
